##########################################################################
# Copyright: (c) 2013   Mayo Foundation for Medical Education and 
# Research (MFMER). All rights reserved. MAYO, MAYO CLINIC, and the
# triple-shield Mayo logo are trademarks and service marks of MFMER.
#
# Except as contained in the copyright notice above, or as used to identify 
# MFMER as the author of this software, the trade names, trademarks, service
# marks, or product names of the copyright holder shall not be used in
# advertising, promotion or otherwise in connection with this software without
# prior written authorization of the copyright holder.
# 
# Licensed under the Apache License, Version 2.0 (the "License");
# you may not use this file except in compliance with the License.
# You may obtain a copy of the License at
# 
# http://www.apache.org/licenses/LICENSE-2.0 
# 
# Unless required by applicable law or agreed to in writing, software
# distributed under the License is distributed on an "AS IS" BASIS,
# WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied.
# See the License for the specific language governing permissions and 
# limitations under the License. 
################################################################################
# Adopt SecTag
medication ( s ) on discharge	5.37.106.125	discharge_medications
endocrine/metabolic	5.34.79.103.68	endocrine_metabolic_family_history
endocrine/metabolic	13.51.157.293	endocrine_metabolic_plan
endocrine/metabolic	5.39.128	endocrine_metabolic_review
endocrine_course	5.32.77.84.25	endocrine_course
endocrine_exam	6.40.139.192	endocrine_exam
endocrine_family_history	5.34.79.103.68.55	endocrine_family_history
endocrine_metabolic_course	5.32.77.84	endocrine_metabolic_course
endocrine_metabolic_family_history	5.34.79.103.68	endocrine_metabolic_family_history
endocrine_metabolic_plan	13.51.157.293	endocrine_metabolic_plan
endocrine_metabolic_review	5.39.128	endocrine_metabolic_review
endocrine_plan	13.51.157.293.203	endocrine_plan
endocrine_review	5.39.128.163	endocrine_review
endoscopic finding	6.41.150.235	endoscopic_findings
endoscopic findings	6.41.150.235	endoscopic_findings
endoscopic impression	6.41.150.236	endoscopic_impressions
endoscopic impressions	6.41.150.236	endoscopic_impressions
endoscopic procedure	6.41.150	endoscopic_procedure
endoscopic retrograde cholangiopancreatography	6.41.149.234.162.175	endoscopic_retrograde_cholangiopancreatography
endoscopic visualization procedure	6.41.150	endoscopic_procedure
endoscopic visualization procedures	6.41.150	endoscopic_procedure
endoscopic_findings	6.41.150.235	endoscopic_findings
endoscopic_impressions	6.41.150.236	endoscopic_impressions
endoscopic_procedure	6.41.150	endoscopic_procedure
endoscopic_retrograde_cholangiopancreatography	6.41.149.234.162.175	endoscopic_retrograde_cholangiopancreatography
endoscopist	3.11.12	endoscopist
enmt	6.40.139.191.120.82-19	ear_nose_mouth_throat_exam
enmt	5.39.115.134	ent_review
ent	6.40.139.191.120.82-30	ear_nose_throat_exam
ent	5.32.77.72.13	ent_course
ent	13.51.157.283.189	ent_plan
ent	5.39.115.134	ent_review
ent course	5.32.77.72.13	ent_course
ent plan	13.51.157.283.189	ent_plan
ent_course	5.32.77.72.13	ent_course
ent_plan	13.51.157.283.189	ent_plan
ent_review	5.39.115.134	ent_review
entered by	3	providers
environment	5.34.78.92	environmental_history
environmental allergies	5.38.110	environmental_allergies
environmental allergy	5.38.110	environmental_allergies
environmental exposure history	5.34.78.92.34	exposure_history
environmental history	5.34.78.92	environmental_history
environmental_allergies	5.38.110	environmental_allergies
environmental_history	5.34.78.92	environmental_history
eom	6.40.139.199.140.127.61	extraoccular_movements
epidural note	2.7.4	epidural_procedure_note
epidural procedure note	2.7.4	epidural_procedure_note
epidural_procedure_note	2.7.4	epidural_procedure_note
epilepsy risk	5.30.68.63	epilepsy_risk_factors
epilepsy risk factor	5.30.68.63	epilepsy_risk_factors
epilepsy risk factors	5.30.68.63	epilepsy_risk_factors
epilepsy_risk_factors	5.30.68.63	epilepsy_risk_factors
esophagoscopy gastroscopy and or duodenoscopy	6.41.150.238.166	egd
esophagoscopy gastroscopy and/or duodenoscopy	6.41.150.238.166	egd
esophagoscopy gastroscopy duodenoscopy	6.41.150.238.166	egd
esophagus biopsy	6.41.153.257	esophagus_biopsy
esophagus_biopsy	6.41.153.257	esophagus_biopsy
estimate blood loss	15.57	estimated_blood_loss
estimate date conception	5.16.35.48	conception_date
estimate date of conception	5.16.35.48	conception_date
estimate due date	5.16.35.47.9	estimated_due_date
estimate gestational age	5.14.14.28	estimated_gestational_age
estimated blood loss	15.57	estimated_blood_loss
estimated date of conception	5.16.35.48	conception_date
estimated due date	5.16.35.47.9	estimated_due_date
estimated gestational age	5.14.14.28	estimated_gestational_age
estimated_blood_loss	15.57	estimated_blood_loss
estimated_due_date	5.16.35.47.9	estimated_due_date
estimated_gestational_age	5.14.14.28	estimated_gestational_age
ethanol	5.34.78.93.35	ethanol_use
ethanol use	5.34.78.93.35	ethanol_use
ethanol_use	5.34.78.93.35	ethanol_use
etoh	5.34.78.93.35	ethanol_use
exam	6.40	physical_examination
exam by organ system	6.40.139	anatomic_exam
exam by organ systems	6.40.139	anatomic_exam
exam for gestational age	6.40.137	ballard_exam
exam gestational age	6.40.137	ballard_exam
exam on admission	6.40	physical_examination
exam organ system	6.40.139	anatomic_exam
examination	6.40	physical_examination
examination discharge	6.40	physical_examination
examination discharge compare admission	6.40	physical_examination
examination on discharge	6.40	physical_examination
examination on discharge compare to admission	6.40	physical_examination
examination on discharge compared to admission	6.40	physical_examination
exercise	5.34.78.96.45	exercise_habits
exercise habit	5.34.78.96.45	exercise_habits
exercise habits	5.34.78.96.45	exercise_habits
exercise_habits	5.34.78.96.45	exercise_habits
exposure	5.34.78.92.34	exposure_history
exposure history	5.34.78.92.34	exposure_history
exposure_history	5.34.78.92.34	exposure_history
ext	6.40.139.202	extremity_exam
ext	13.51.157.298	extremity_plan
ext	5.39.126	extremity_review
external ear	6.40.139.191.120.82.40	external_ear
external examination	6.40	physical_examination
external eye	6.40.139.191.120.80.32	external_eye_exam
external eye exam	6.40.139.191.120.80.32	external_eye_exam
external eye examination	6.40.139.191.120.80.32	external_eye_exam
external genitalia	6.40.139.198.137.114	external_genitalia_exam
external genitalia exam	6.40.139.198.137.114	external_genitalia_exam
external genitalia examination	6.40.139.198.137.114	external_genitalia_exam
external_ear	6.40.139.191.120.82.40	external_ear
external_eye_exam	6.40.139.191.120.80.32	external_eye_exam
external_genitalia_exam	6.40.139.198.137.114	external_genitalia_exam
extr	6.40.139.202	extremity_exam
extr	13.51.157.298	extremity_plan
extr	5.39.126	extremity_review
extracardiac bruit	6.40.139.194.127.99	extracardiac_bruits
extracardiac bruits	6.40.139.194.127.99	extracardiac_bruits
extracardiac_bruits	6.40.139.194.127.99	extracardiac_bruits
extraoccular movement	6.40.139.199.140.127.61	extraoccular_movements
extraoccular movement	6.40.139.191.120.80.33	extraocular_muscle_exam
extraoccular movements	6.40.139.199.140.127.61	extraoccular_movements
extraoccular movements	6.40.139.191.120.80.33	extraocular_muscle_exam
extraoccular_movements	6.40.139.199.140.127.61	extraoccular_movements
extraocular muscle	6.40.139.191.120.80.33	extraocular_muscle_exam
extraocular muscles	6.40.139.191.120.80.33	extraocular_muscle_exam
extraocular_muscle_exam	6.40.139.191.120.80.33	extraocular_muscle_exam
extremeties	6.40.139.202	extremity_exam
extremeties	13.51.157.298	extremity_plan
extremeties	5.39.126	extremity_review
extremities	6.40.139.202	extremity_exam
extremities	13.51.157.298	extremity_plan
extremities	5.39.126	extremity_review
extremities and joints	6.40.139.202-0	extremity_and_joint_exam
extremities and joints inspection and palpation	6.40.139.202-0	extremity_and_joint_exam
extremities angiography	6.41.149.234.162.179.110	extremities_angiography
extremities hip	6.40.139.202-22	extremities_hip_exam
extremities hip exam	6.40.139.202-22	extremities_hip_exam
extremities hip examination	6.40.139.202-22	extremities_hip_exam
extremities/hips	6.40.139.202-22	extremities_hip_exam
extremities_angiography	6.41.149.234.162.179.110	extremities_angiography
extremities_hip_exam	6.40.139.202-22	extremities_hip_exam
extremity	6.40.139.202	extremity_exam
extremity	13.51.157.298	extremity_plan
extremity	5.39.126	extremity_review
extremity and joint	6.40.139.202-0	extremity_and_joint_exam
extremity and joint exam	6.40.139.202-0	extremity_and_joint_exam
extremity and joint examination	6.40.139.202-0	extremity_and_joint_exam
extremity and joint inspection and palpation	6.40.139.202-0	extremity_and_joint_exam
extremity angiography	6.41.149.234.162.179.110	extremities_angiography
extremity exam	6.40.139.202	extremity_exam
extremity examination	6.40.139.202	extremity_exam
extremity hip	6.40.139.202-22	extremities_hip_exam
extremity hip exam	6.40.139.202-22	extremities_hip_exam
extremity hip examination	6.40.139.202-22	extremities_hip_exam
extremity joint	6.40.139.202-0	extremity_and_joint_exam
extremity joint exam	6.40.139.202-0	extremity_and_joint_exam
extremity joint examination	6.40.139.202-0	extremity_and_joint_exam
extremity joint inspection palpation	6.40.139.202-0	extremity_and_joint_exam
extremity plan	13.51.157.298	extremity_plan
extremity_and_joint_exam	6.40.139.202-0	extremity_and_joint_exam
extremity_exam	6.40.139.202	extremity_exam
extremity_plan	13.51.157.298	extremity_plan
extremity_review	5.39.126	extremity_review
eye	5.32.77.72.14	ophthalmologic_course
eye	6.40.139.191.120.80	ophthalmologic_exam
eye	13.51.157.283.190	ophthalmologic_plan
eye	5.39.115.135	ophthalmologic_review
eye contact	6.40.139.199.139.122	concentration
eye ear nose throat	6.40.139.191.120.81-21	eye_ear_nose_throat_exam
eye ear nose throat	5.39.115.134-20	eye_ear_nose_throat_review
eye ear nose throat exam	6.40.139.191.120.81-21	eye_ear_nose_throat_exam
eye ear nose throat examination	6.40.139.191.120.81-21	eye_ear_nose_throat_exam
eye exam	6.40.139.191.120.80	ophthalmologic_exam
eye exam	13.51.157.283.190	ophthalmologic_plan
eye external exam	6.40.139.191.120.80.32	external_eye_exam
eye formal visual field test	6.41.148	eyes_formal_visual_field_testing
eye fundus	6.40.139.191.120.80	ophthalmologic_exam
eye movement extraocular muscle	6.40.139.191.120.80.33	extraocular_muscle_exam
eye movement of extraocular muscle	6.40.139.191.120.80.33	extraocular_muscle_exam
eye ophthalmoscopy	6.40.139.191.120.80.36	retinal_exam
eye slit lamp examination	6.40.139.191.120.80.38	slit_lamp_exam
eye visual field by confrontation or by perimetry	6.40.139.191.120.80.34	visual_field_exam
eye visual field confrontation perimetry	6.40.139.191.120.80.34	visual_field_exam
eye_ear_nose_throat_exam	6.40.139.191.120.81-21	eye_ear_nose_throat_exam
eye_ear_nose_throat_review	5.39.115.134-20	eye_ear_nose_throat_review
eyelid	6.40.139.191.120.80.32.7	eyelid_exam
eyelid exam	6.40.139.191.120.80.32.7	eyelid_exam
eyelid examination	6.40.139.191.120.80.32.7	eyelid_exam
eyelid_exam	6.40.139.191.120.80.32.7	eyelid_exam
eyes	5.32.77.72.14	ophthalmologic_course
eyes	5.39.115.135	ophthalmologic_review
eyes exam	6.40.139.191.120.80	ophthalmologic_exam
eyes exam	13.51.157.283.190	ophthalmologic_plan
eyes external exam	6.40.139.191.120.80.32	external_eye_exam
eyes formal visual field testing	6.41.148	eyes_formal_visual_field_testing
eyes movement of extraocular muscles	6.40.139.191.120.80.33	extraocular_muscle_exam
eyes ophthalmoscopy	6.40.139.191.120.80.36	retinal_exam
eyes slit lamp examination	6.40.139.191.120.80.38	slit_lamp_exam
eyes visual fields by confrontation or by perimetry	6.40.139.191.120.80.34	visual_field_exam
eyes/fundi	6.40.139.191.120.80	ophthalmologic_exam
eyes_formal_visual_field_testing	6.41.148	eyes_formal_visual_field_testing
face	5.32.77.72.16	face_course
face	13.51.157.283.191	face_plan
face	5.39.115.137	facial_review
face	6.40.139.191.120.79	head_exam
face course	5.32.77.72.16	face_course
face plan	13.51.157.283.191	face_plan
face_course	5.32.77.72.16	face_course
face_plan	13.51.157.283.191	face_plan
facial_review	5.39.115.137	facial_review
faith	5.34.78.99	religious_history
fam hx	5.34.79	family_medical_history
family	5.34.78.94	family_enviroment
family and social history	5.34	family_and_social_history
family enviroment	5.34.78.94	family_enviroment
family history	5.34.79	family_medical_history
family history and social history	5.34	family_and_social_history
family history by category	5.34.79.103	family_history_by_category
family history by relationship	5.34.79.102	family_history_by_relationship
family history category	5.34.79.103	family_history_by_category
family history relationship	5.34.79.102	family_history_by_relationship
family history social history	5.34	family_and_social_history
family medical history	5.34.79	family_medical_history
family nurse practitioner	3.10.8.22.5	family_nurse_practitioner
family social history	5.34	family_and_social_history
family social history physical examination	5.34	family_and_social_history
family/social history/physical examination	5.34	family_and_social_history
family_and_social_history	5.34	family_and_social_history
family_enviroment	5.34.78.94	family_enviroment
family_history_by_category	5.34.79.103	family_history_by_category
family_history_by_relationship	5.34.79.102	family_history_by_relationship
family_medical_history	5.34.79	family_medical_history
family_nurse_practitioner	3.10.8.22.5	family_nurse_practitioner
father	5.34.78.94.41.27	father
father	5.34.79.102.48.34	father_medical_history
father baby	5.34.78.94.41.27	father
father medical history	5.34.79.102.48.34	father_medical_history
father occupation	5.34.78.94.41.27.21	father_occupation
father of baby	5.34.78.94.41.27	father
father_medical_history	5.34.79.102.48.34	father_medical_history
father_occupation	5.34.78.94.41.27.21	father_occupation
feeding and dietary status	5.24	diet
feeding dietary status	5.24	diet
feet	13.51.157.292.202.209	feet_plan
feet	5.32.77.81.23.15	foot_course
feet	6.40.139.202.151	foot_exam
feet	13.51.157.298.207	foot_plan
feet	5.39.124.160.105.72	foot_review
feet course	5.32.77.81.23.14.12	feet_course
feet plan	13.51.157.292.202.209	feet_plan
feet_course	5.32.77.81.23.14.12	feet_course
feet_plan	13.51.157.292.202.209	feet_plan
fellow	3.10.7.15	fellow
female genitalia	6.40.139.198.137	genital_exam
female gu	5.39.122.150.96	female_gu_review
female gu course	5.32.77.79.19.9	female_gu_course
female gu exam	6.40.139.198.137	genital_exam
female urogenital menstrual and obstetric history and symptom	5.39.122.150.96	female_gu_review
female urogenital menstrual and obstetrical history and symptoms	5.39.122.150.96	female_gu_review
female urogenital menstrual obstetric history symptom	5.39.122.150.96	female_gu_review
female_gu_course	5.32.77.79.19.9	female_gu_course
female_gu_review	5.39.122.150.96	female_gu_review
fen	5.32.77.88	fluid_electrolyte_nutrition_course
fen	13.51.157.300	fluid_electrolyte_nutrition_plan
fen gi	5.32.77.88-33	fluid_electrolyte_nutrition_gastrointestinal_course
fen gi	13.51.157.300-32	fluid_electrolyte_nutrition_gastrointestinal_plan
fen/gi	5.32.77.88-33	fluid_electrolyte_nutrition_gastrointestinal_course
fen/gi	13.51.157.300-32	fluid_electrolyte_nutrition_gastrointestinal_plan
fh	5.34.79	family_medical_history
fhx	5.34.79	family_medical_history
final diagnose	5.22.48	final_diagnosis
final diagnoses	5.22.48	final_diagnosis
final diagnosis	5.22.48	final_diagnosis
final due date	5.16.35.47.10	final_due_date
final edc	5.16.35.47.10	final_due_date
final impression	5.22.48	final_diagnosis
final_diagnosis	5.22.48	final_diagnosis
final_due_date	5.16.35.47.10	final_due_date
finding	13.53	findings
finding	6.41.149.232	imaging_findings
finding at surgery	13.53	findings
finding surgery	13.53	findings
findings	13.53	findings
findings	6.41.149.232	imaging_findings
findings at surgery	13.53	findings
fine motor	5.35.94.111	fine_motor_development
fine motor development	5.35.94.111	fine_motor_development
fine_motor_development	5.35.94.111	fine_motor_development
first assistant	3.11.9.23	first_assistant
first_assistant	3.11.9.23	first_assistant
fluid	5.32.77.88.27	fluid_course
fluid	13.51.157.300.208	fluid_plan
fluid , electrolytes and nutritions	13.51.157.300	fluid_electrolyte_nutrition_plan
fluid balance	6.40.136.182	fluid_balance
fluid course	5.32.77.88.27	fluid_course
fluid electrolyte nutrition	13.51.157.300	fluid_electrolyte_nutrition_plan
fluid electrolyte nutrition course	5.32.77.88	fluid_electrolyte_nutrition_course
fluid electrolyte nutrition gastrointestinal	13.51.157.300-32	fluid_electrolyte_nutrition_gastrointestinal_plan
fluid electrolyte nutrition gastrointestinal course	5.32.77.88-33	fluid_electrolyte_nutrition_gastrointestinal_course
fluid electrolyte nutrition gastrointestinal plan	13.51.157.300-32	fluid_electrolyte_nutrition_gastrointestinal_plan
fluid electrolyte nutrition plan	13.51.157.300	fluid_electrolyte_nutrition_plan
fluid plan	13.51.157.300.208	fluid_plan
fluid_balance	6.40.136.182	fluid_balance
fluid_course	5.32.77.88.27	fluid_course
fluid_electrolyte_nutrition_course	5.32.77.88	fluid_electrolyte_nutrition_course
fluid_electrolyte_nutrition_gastrointestinal_course	5.32.77.88-33	fluid_electrolyte_nutrition_gastrointestinal_course
fluid_electrolyte_nutrition_gastrointestinal_plan	13.51.157.300-32	fluid_electrolyte_nutrition_gastrointestinal_plan
fluid_electrolyte_nutrition_plan	13.51.157.300	fluid_electrolyte_nutrition_plan
fluid_plan	13.51.157.300.208	fluid_plan
fluids	5.32.77.88.27	fluid_course
fluids	13.51.157.300.208	fluid_plan
fluids , electrolytes , and nutrition	13.51.157.300	fluid_electrolyte_nutrition_plan
fluids , electrolytes and nutrition	13.51.157.300	fluid_electrolyte_nutrition_plan
fmh	5.34.79	family_medical_history
fmhx	5.34.79	family_medical_history
fnp	3.10.8.22.5	family_nurse_practitioner
fob	5.34.78.94.41.27	father
fob occupation	5.34.78.94.41.27.21	father_occupation
follow up	9	follow_up
follow up and instructions to patient	9	follow_up
follow up appointment	9	follow_up
follow up appointment ( s )	9	follow_up
follow up appointment arrangement care	9	follow_up
follow up appointment arrangement for care	9	follow_up
follow up at discharge	9.45	discharge_followup
follow up care	9	follow_up
follow up discharge	9.45	discharge_followup
follow up service	9	follow_up
follow-up	9	follow_up
follow-up appointments; arrangements for care	9	follow_up
follow-up care	9	follow_up
follow_up	9	follow_up
followup	9	follow_up
followup appointment	9	follow_up
followup appointments	9	follow_up
followup care plan	9	follow_up
followup instruction	9	follow_up
followup instructions	9	follow_up
followup plan	9.45	discharge_followup
folstein exam	6.40.139.199.139.124	cognition
food allergies	5.38.109	food_allergies
food allergy	5.38.109	food_allergies
food_allergies	5.38.109	food_allergies
foot	13.51.157.292.202.209	feet_plan
foot	5.32.77.81.23.15	foot_course
foot	6.40.139.202.151	foot_exam
foot	13.51.157.298.207	foot_plan
foot	5.39.124.160.105.72	foot_review
foot course	5.32.77.81.23.14.12	feet_course
foot course	5.32.77.81.23.15	foot_course
foot exam	6.40.139.202.151	foot_exam
foot examination	6.40.139.202.151	foot_exam
foot plan	13.51.157.292.202.209	feet_plan
foot plan	13.51.157.298.207	foot_plan
foot_course	5.32.77.81.23.15	foot_course
foot_exam	6.40.139.202.151	foot_exam
foot_plan	13.51.157.298.207	foot_plan
foot_review	5.39.124.160.105.72	foot_review
forearm	6.40.139.202.149.154	forearm_exam
forearm	13.51.157.298.205.213	forearm_plan
forearm exam	6.40.139.202.149.154	forearm_exam
forearm examination	6.40.139.202.149.154	forearm_exam
forearm plan	13.51.157.298.205.213	forearm_plan
forearm_exam	6.40.139.202.149.154	forearm_exam
forearm_plan	13.51.157.298.205.213	forearm_plan
fremitus	6.40.139.195.128.104	tactile_fremitus
frontal	6.40.139.199.140.128.70	frontal_release_signs
frontal release sign	6.40.139.199.140.128.70	frontal_release_signs
frontal release signs	6.40.139.199.140.128.70	frontal_release_signs
frontal_release_signs	6.40.139.199.140.128.70	frontal_release_signs
functional assessment	6.41.152	functional_assessment
functional assessment discomfort assessment	6.41.152	functional_assessment
functional assessment/discomfort assessment	6.41.152	functional_assessment
functional status	10	functional_status
functional_assessment	6.41.152	functional_assessment
functional_status	10	functional_status
fund knowledge	6.40.139.199.139.123	fund_of_knowledge
fund of knowledge	6.40.139.199.139.123	fund_of_knowledge
fund_of_knowledge	6.40.139.199.139.123	fund_of_knowledge
fundoscopic exam	6.40.139.191.120.80.36	retinal_exam
funduscopic exam	6.40.139.191.120.80.36	retinal_exam
g	5.14.23	gravida
gaf	5.22.49.58.11	global_assessment_functioning
gait	6.40.139.199.140.131.77	gait
gastro	5.32.77.78	gastrointestinal_course
gastro	6.40.139.196	gastrointestinal_exam
gastro	13.51.157.289	gastrointestinal_plan
gastrointestinal	5.32.77.78	gastrointestinal_course
gastrointestinal	6.40.139.196	gastrointestinal_exam
gastrointestinal	5.34.79.103.62	gastrointestinal_family_history
gastrointestinal	13.51.157.289	gastrointestinal_plan
gastrointestinal	5.39.121	gastrointestinal_review
gastrointestinal and genitourinary	6.40.139.196-15	gastrointestinal_genitourinary_exam
gastrointestinal and genitourinary	5.39.121	gastrointestinal_review
gastrointestinal barium contrast studies	6.41.149.234.162.171	gastrointestinal_barium_contrast_studies
gastrointestinal barium contrast study	6.41.149.234.162.171	gastrointestinal_barium_contrast_studies
gastrointestinal course	5.32.77.78	gastrointestinal_course
gastrointestinal endoscopy	6.41.150.238	gastrointestinal_endoscopy
gastrointestinal exam	6.40.139.196	gastrointestinal_exam
gastrointestinal examination	6.40.139.196	gastrointestinal_exam
gastrointestinal family history	5.34.79.103.62	gastrointestinal_family_history
gastrointestinal genitourinary	6.40.139.196-15	gastrointestinal_genitourinary_exam
gastrointestinal genitourinary	5.39.121	gastrointestinal_review
gastrointestinal genitourinary exam	6.40.139.196-15	gastrointestinal_genitourinary_exam
gastrointestinal genitourinary examination	6.40.139.196-15	gastrointestinal_genitourinary_exam
gastrointestinal plan	13.51.157.289	gastrointestinal_plan
gastrointestinal system	5.32.77.78	gastrointestinal_course
gastrointestinal system	6.40.139.196	gastrointestinal_exam
gastrointestinal system	5.34.79.103.62	gastrointestinal_family_history
gastrointestinal system	5.39.121	gastrointestinal_review
gastrointestinal_barium_contrast_studies	6.41.149.234.162.171	gastrointestinal_barium_contrast_studies
gastrointestinal_course	5.32.77.78	gastrointestinal_course
gastrointestinal_endoscopy	6.41.150.238	gastrointestinal_endoscopy
gastrointestinal_exam	6.40.139.196	gastrointestinal_exam
gastrointestinal_family_history	5.34.79.103.62	gastrointestinal_family_history
gastrointestinal_genitourinary_exam	6.40.139.196-15	gastrointestinal_genitourinary_exam
gastrointestinal_plan	13.51.157.289	gastrointestinal_plan
gastrointestinal_review	5.39.121	gastrointestinal_review
gen	5.32.77.70	general_course
gen	6.40.135	general_exam
gen	13.51.157.281	general_plan
gen	5.39.113	general_review
gender	5.14.16	gender
general	6.40.135	general_exam
general	13.51.157.281	general_plan
general	5.39.113	general_review
general appearance	6.40.135	general_exam
general appearance	5.39.113	general_review
general course	5.32.77.70	general_course
general exam	6.40.135	general_exam
general examination	6.40.135	general_exam
general health	5.39.113	general_review
general history and physical	2.3	general_history_and_physical
general history physical	2.3	general_history_and_physical
general physical exam	6.40.135	general_exam
general plan	13.51.157.281	general_plan
general practitioner	3.10.7.7	primary_physician
general status	6.40.135	general_exam
general_course	5.32.77.70	general_course
general_exam	6.40.135	general_exam
general_history_and_physical	2.3	general_history_and_physical
general_plan	13.51.157.281	general_plan
general_review	5.39.113	general_review
genetic disease	5.35.92	genetic_diseases
genetic diseases	5.35.92	genetic_diseases
genetic_diseases	5.35.92	genetic_diseases
genital	5.32.77.79.19	genital_course
genital	6.40.139.198.137	genital_exam
genital	5.39.122.150	genital_review
genital course	5.32.77.79.19	genital_course
genital exam	6.40.139.198.137	genital_exam
genital examination	6.40.139.198.137	genital_exam
genital family history	5.34.79.103.63.49	genital_family_history
genital rectal	6.40.139.198-7	genital_rectal_exam
genital rectal exam	6.40.139.198-7	genital_rectal_exam
genital rectal examination	6.40.139.198-7	genital_rectal_exam
genital_course	5.32.77.79.19	genital_course
genital_exam	6.40.139.198.137	genital_exam
genital_family_history	5.34.79.103.63.49	genital_family_history
genital_rectal_exam	6.40.139.198-7	genital_rectal_exam
genital_review	5.39.122.150	genital_review
genitala rectal	6.40.139.198-7	genital_rectal_exam
genitala rectal	13.51.157.290	genitourinary_plan
genitala/rectal	6.40.139.198-7	genital_rectal_exam
genitala/rectal	13.51.157.290	genitourinary_plan
genitalia	5.32.77.79.19	genital_course
genitalia	6.40.139.198.137	genital_exam
genitalia	5.34.79.103.63.49	genital_family_history
genitalia	5.39.122.150	genital_review
genitalia	13.51.157.290	genitourinary_plan
genitalia.female	6.40.139.198.137	genital_exam
genitalia.male	6.40.139.198.137	genital_exam
genitaliafemale	6.40.139.198.137	genital_exam
genitaliamale	6.40.139.198.137	genital_exam
genito	6.40.139.198.137	genital_exam
genito	5.32.77.79	genitourinary_course
genito	6.40.139.198	genitourinary_exam
genito	13.51.157.290	genitourinary_plan
genitourinary	5.32.77.79	genitourinary_course
genitourinary	6.40.139.198	genitourinary_exam
genitourinary	5.34.79.103.63	genitourinary_family_history
genitourinary	13.51.157.290	genitourinary_plan
genitourinary	5.39.122	genitourinary_review
genitourinary course	5.32.77.79	genitourinary_course
genitourinary exam	6.40.139.198	genitourinary_exam
genitourinary exam	13.51.157.290	genitourinary_plan
genitourinary examination	6.40.139.198	genitourinary_exam
genitourinary family history	5.34.79.103.63	genitourinary_family_history
genitourinary plan	13.51.157.290	genitourinary_plan
genitourinary reproductive and obstetric course	5.32.77.79	genitourinary_course
genitourinary reproductive and obstetrical course	5.32.77.79	genitourinary_course
genitourinary reproductive obstetric course	5.32.77.79	genitourinary_course
genitourinary system	5.32.77.79	genitourinary_course
genitourinary system	6.40.139.198	genitourinary_exam
genitourinary system	5.34.79.103.63	genitourinary_family_history
genitourinary system	5.39.122	genitourinary_review
genitourinary systems	5.34.79.103.63	genitourinary_family_history
genitourinary systems	5.39.122	genitourinary_review
genitourinary tract	6.40.139.198	genitourinary_exam
genitourinary_course	5.32.77.79	genitourinary_course
genitourinary_exam	6.40.139.198	genitourinary_exam
genitourinary_family_history	5.34.79.103.63	genitourinary_family_history
genitourinary_plan	13.51.157.290	genitourinary_plan
genitourinary_review	5.39.122	genitourinary_review
gestational age	5.14.14.28	estimated_gestational_age
gestational age by date	5.14.14.28.6	ega_by_date
gestational age by dates	5.14.14.28.6	ega_by_date
gestational age by exam	5.14.14.28.7	ega_by_exam
gestational age by ultrasound	5.14.14.28.8	ega_by_ultrasound
gestational age date	5.14.14.28.6	ega_by_date
gestational age exam	5.14.14.28.7	ega_by_exam
gestational age ultrasound	5.14.14.28.8	ega_by_ultrasound
gf	5.34.79.102.49.35.24	grandfather_medical_history
gi	5.32.77.78	gastrointestinal_course
gi	6.40.139.196	gastrointestinal_exam
gi	5.34.79.103.62	gastrointestinal_family_history
gi	13.51.157.289	gastrointestinal_plan
gi	5.39.121	gastrointestinal_review
gi complaint	5.39.121	gastrointestinal_review
gi complaints	5.39.121	gastrointestinal_review
gi history	5.35.83	gi_history
gi risk	5.30.65	gi_risk_factors
gi risk factor	5.30.65	gi_risk_factors
gi risk factors	5.30.65	gi_risk_factors
gi_history	5.35.83	gi_history
gi_risk_factors	5.30.65	gi_risk_factors
global assessment function	5.22.49.58.11	global_assessment_functioning
global assessment functioning	5.22.49.58.11	global_assessment_functioning
global assessment of function	5.22.49.58.11	global_assessment_functioning
global assessment of functioning	5.22.49.58.11	global_assessment_functioning
global_assessment_functioning	5.22.49.58.11	global_assessment_functioning
gm	5.34.78.94.40.24	grandmother
gm	5.34.79.102.49.35.23	grandmother_medical_history
gm	5.34.79.102.49	grandparent_medical_history
gma	5.34.78.94.40.24	grandmother
gma	5.34.79.102.49.35.23	grandmother_medical_history
gma	5.34.79.102.49	grandparent_medical_history
goal	13.51.154	treatment_goals
goals	13.51.154	treatment_goals
gonadal biopsy	6.41.153.253	gonadal_biopsy
gonadal_biopsy	6.41.153.253	gonadal_biopsy
gp	5.34.78.94.40.25	grandfather
gp	5.34.79.102.49.35.24	grandfather_medical_history
gp	5.34.79.102.49	grandparent_medical_history
gp	3.10.7.7	primary_physician
gpa	5.34.78.94.40.25	grandfather
gpa	5.34.79.102.49.35.24	grandfather_medical_history
gpa	5.34.79.102.49	grandparent_medical_history
granddad	5.34.79.102.49.35.24	grandfather_medical_history
grandfather	5.34.78.94.40.25	grandfather
grandfather	5.34.79.102.49.35.24	grandfather_medical_history
grandfather medical history	5.34.79.102.49.35.24	grandfather_medical_history
grandfather_medical_history	5.34.79.102.49.35.24	grandfather_medical_history
grandma	5.34.78.94.40.24	grandmother
grandma	5.34.79.102.49.35.23	grandmother_medical_history
